STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LV,Latvia,2019-01,,109.89,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,LV,Latvia,2023-01,,160.21,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,MT,Malta,2019-01,,110.33,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,MT,Malta,2023-01,,136.53,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,NL,Netherlands,2019-01,,106.66,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,NL,Netherlands,2023-01,,134.23,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,NO,Norway,2019-01,,104.2,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,NO,Norway,2023-01,,119.7,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,PL,Poland,2019-01,,109.6,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,PL,Poland,2023-01,,156.6,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,PT,Portugal,2019-01,,102.95,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,PT,Portugal,2023-01,,131.79,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,RO,Romania,2019-01,,107.82,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,RO,Romania,2023-01,,153.72,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SE,Sweden,2019-01,,106.90,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SE,Sweden,2023-01,,137.40,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SI,Slovenia,2019-01,,106.29,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SI,Slovenia,2023-01,,137.69,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SK,Slovakia,2019-01,,107.86,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,SK,Slovakia,2023-01,,156.74,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,TR,Türkiye,2019-01,,164.99,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,TR,Türkiye,2023-01,,566.46,,d,definition differs (see metadata)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,M,Monthly,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,UK,United Kingdom,2019-01,,102.5,,,
